Ministry,Department,Item,Value
Agriculture and Agri-Food,Agriculture and Agri-Food Department,Personnel,575028000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,Transportation and Communications,14573000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,Information,7799000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,Professional and Special Services,122657000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,Rentals,4924000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,Repair and Maintenance,19317000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,"Utilities, Materials and Supplies",41070000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,"Acquisition of Land, Buildings and Works",6283000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,Acquistion of Machinery and Equipment,37448000
Agriculture and Agri-Food,Agriculture and Agri-Food Department,Transfer Payments,1900532000
Agriculture and Agri-Food,Canadian Food Inspection Agency,Personnel,575900000
Agriculture and Agri-Food,Canadian Food Inspection Agency,Transportation and Communications,19746000
Agriculture and Agri-Food,Canadian Food Inspection Agency,Information,1871000
Agriculture and Agri-Food,Canadian Food Inspection Agency,Professional and Special Services,75772000
Agriculture and Agri-Food,Canadian Food Inspection Agency,Rentals,10073000
Agriculture and Agri-Food,Canadian Food Inspection Agency,Repair and Maintenance,12504000
Agriculture and Agri-Food,Canadian Food Inspection Agency,"Utilities, Materials and Supplies",18655000
Agriculture and Agri-Food,Canadian Food Inspection Agency,Acquistion of Machinery and Equipment,24115000
Agriculture and Agri-Food,Canadian Food Inspection Agency,Transfer Payments,40562000
Agriculture and Agri-Food,Canadian Grain Commission,Personnel,63858000
Agriculture and Agri-Food,Canadian Grain Commission,Transportation and Communications,3798000
Agriculture and Agri-Food,Canadian Grain Commission,Information,235000
Agriculture and Agri-Food,Canadian Grain Commission,Professional and Special Services,2669000
Agriculture and Agri-Food,Canadian Grain Commission,Rentals,5210000
Agriculture and Agri-Food,Canadian Grain Commission,Repair and Maintenance,1345000
Agriculture and Agri-Food,Canadian Grain Commission,"Utilities, Materials and Supplies",756000
Agriculture and Agri-Food,Canadian Grain Commission,Acquistion of Machinery and Equipment,4501000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,Personnel,68347000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,Transportation and Communications,3081000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,Information,360000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,Professional and Special Services,8212000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,Rentals,2096000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,Repair and Maintenance,309000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,"Utilities, Materials and Supplies",325000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,Acquistion of Machinery and Equipment,686000
Atlantic Canada Opportunities Agency,Atlantic Canada Opportunities Agency Department,Transfer Payments,233185000
Canada Revenue Agency,Canada Revenue Agency,Personnel,3347811000
Canada Revenue Agency,Canada Revenue Agency,Transportation and Communications,124946000
Canada Revenue Agency,Canada Revenue Agency,Information,8865000
Canada Revenue Agency,Canada Revenue Agency,Professional and Special Services,348088000
Canada Revenue Agency,Canada Revenue Agency,Rentals,307364000
Canada Revenue Agency,Canada Revenue Agency,Repair and Maintenance,77487000
Canada Revenue Agency,Canada Revenue Agency,"Utilities, Materials and Supplies",24143000
Canada Revenue Agency,Canada Revenue Agency,Acquistion of Machinery and Equipment,32813000
Canada Revenue Agency,Canada Revenue Agency,Transfer Payments,374921000
Canadian Heritage,Canadian Heritage Department,Personnel,177549000
Canadian Heritage,Canadian Heritage Department,Transportation and Communications,2815000
Canadian Heritage,Canadian Heritage Department,Information,8081000
Canadian Heritage,Canadian Heritage Department,Professional and Special Services,15917000
Canadian Heritage,Canadian Heritage Department,Rentals,2335000
Canadian Heritage,Canadian Heritage Department,Repair and Maintenance,940000
Canadian Heritage,Canadian Heritage Department,"Utilities, Materials and Supplies",1861000
Canadian Heritage,Canadian Heritage Department,Acquistion of Machinery and Equipment,439000
Canadian Heritage,Canadian Heritage Department,Transfer Payments,1042867000
Canadian Heritage,Canadian Radio-television and Telecommunications Commission,Personnel,45458000
Canadian Heritage,Canadian Radio-television and Telecommunications Commission,Transportation and Communications,1712000
Canadian Heritage,Canadian Radio-television and Telecommunications Commission,Information,1033000
Canadian Heritage,Canadian Radio-television and Telecommunications Commission,Professional and Special Services,5365000
Canadian Heritage,Canadian Radio-television and Telecommunications Commission,Rentals,647000
Canadian Heritage,Canadian Radio-television and Telecommunications Commission,Repair and Maintenance,706000
Canadian Heritage,Canadian Radio-television and Telecommunications Commission,"Utilities, Materials and Supplies",309000
Canadian Heritage,Canadian Radio-television and Telecommunications Commission,Acquistion of Machinery and Equipment,1221000
Canadian Heritage,Library and Archives of Canada,Personnel,88727000
Canadian Heritage,Library and Archives of Canada,Transportation and Communications,860000
Canadian Heritage,Library and Archives of Canada,Information,166000
Canadian Heritage,Library and Archives of Canada,Professional and Special Services,6033000
Canadian Heritage,Library and Archives of Canada,Rentals,1839000
Canadian Heritage,Library and Archives of Canada,Repair and Maintenance,901000
Canadian Heritage,Library and Archives of Canada,"Utilities, Materials and Supplies",807000
Canadian Heritage,Library and Archives of Canada,"Acquisition of Land, Buildings and Works",11926000
Canadian Heritage,Library and Archives of Canada,Acquistion of Machinery and Equipment,7590000
Canadian Heritage,Library and Archives of Canada,Transfer Payments,35000
Canadian Heritage,National Battlefields Commission,Personnel,4140000
